Tier,Industry,Business,City,Address,Phone,Website,Hiring,Open Position,Salary,Sales Note
Tier 2,Medical,Family Physician's of Lima,Lima OH,,,famdox.com,NO,,,30+ years of service
Tier 2,Medical,Leahy Family Care & Wellness Center,Lima OH,,,leahyfamilycare.com,NO,,,Independent practice
Tier 2,Medical,Dermatologists of Central States (DOCS),St. Marys OH,,,docsdermgroup.com,NO,,,$15-$19.75/hr for receptionist
Tier 2,Law Firm,Dodson Law Office LLC,Lima OH,,(419) 999-9000,limalawyer.com,NO,,,Extended hours evenings/weekends
Tier 2,Law Firm,Reese Elliott & Williams,Lima OH,,,lima-law.com,NO,,,Women-led practice - 70+ years combined experience
Tier 2,Law Firm,Huffman Kelley Brock & Gottschalk LLC,Lima OH,,,540westmarket.com,NO,,,250+ years combined experience
Tier 2,Veterinary,Heidt Veterinary Hospital,Lima OH,,,heidtvet.com,NO,,,Since 1958
Tier 2,Veterinary,Shawnee Veterinary Hospital,Lima OH,,,shawneevethospital.com,NO,,,Full service
Tier 2,Veterinary,Metz Petz Veterinary Clinics,Ada and Lima OH,,,metzpetz.net,NO,,,Multiple locations
Tier 2,Veterinary,Lima Veterinary Center,Lima OH,,(585) 582-3131,limaveterinarycenter.com,NO,,,Small animals + large mobile unit
Tier 2,Veterinary,Midwest Animal Clinic,Lima OH,,(419) 224-9000,,NO,,,7540 Harding Hwy
Tier 2,HVAC/Plumbing,Lippincott Plumbing Heating & Electrical,Lima OH,,,lippincottplumbing.com,NO,,,40+ years - 24 hour service
Tier 2,HVAC/Plumbing,Alltek Plumbing,Lima and Findlay OH,,(419) 228-2708,alltekplumbing.com,NO,,,60+ years - 2 locations
Tier 2,HVAC/Plumbing,Washam Plumbing Heating & AC,Lima OH,,,washamplumbing.com,NO,,,Residential and commercial
Tier 2,HVAC/Plumbing,Creps Plumbing Heating & AC LLC,Lima OH,,,crepsplumbing.com,NO,,,60+ years - 24 hour service
Tier 2,HVAC/Plumbing,Grothouse Plumbing & Heating,Delphos OH,,,,NO,,,Family business
Tier 2,HVAC/Plumbing,Consolidated Hunter Heating Plumbing & AC,Celina OH,,,consolidatedhunter.com,NO,,,Family owned since 1985
Tier 2,HVAC/Plumbing,Jack's Heating AC & Plumbing,Findlay OH,,,jacksheating.com,NO,,,24 hr service - Carrier authorized
Tier 2,HVAC/Plumbing,Knueve & Sons,Kalida OH,,(419) 532-3699,knueve.com,NO,,,Since 1970 - multiple services
Tier 2,HVAC/Plumbing,Ayers Mechanical Group,Van Wert OH,,,ayersmechanical.com,NO,,,Since 1984
Tier 2,HVAC/Plumbing,Campbell Inc.,Findlay OH,,(800) 482-2911,campbellinc.com,NO,,,3rd generation - 80+ employees
Tier 2,Funeral Home,Chamberlain Huckeriede Funeral Home,Lima OH,,(419) 229-2300,chamberlainhuckeriede.com,NO,,,Family owned since 1992 - 24/7 need
Tier 2,Funeral Home,Chiles-Laman Funeral & Cremation,Lima OH,,(419) 228-5474,chiles-lamanfh.com,NO,,,2 locations - 24/7 need
Tier 2,Funeral Home,Jones-Clark Funeral Home,Lima OH,,(419) 225-5741,jonesclarkfh.com,NO,,,24/7 need
Tier 2,Funeral Home,Hanneman-Siferd Funeral Home,Lima OH,,(419) 224-2010,,NO,,,24/7 need
Tier 2,Funeral Home,Bayliff & Son Funeral Home,Cridersville OH,,(419) 645-4501,,NO,,,24/7 need
Tier 3,Insurance,Eastside Insurance Agency,Lima OH,,,eastsideinsurance.com,NO,,,5 stars - 12 reviews
Tier 3,Insurance,Mel Butterfield & Son Insurance Agency,Lima OH,,,butterfieldinsuranceagency.com,NO,,,80+ years - 3rd-4th generation family business
Tier 3,Insurance,Sullivan Insurance,Lima OH,,,sullivaninsuranceinc.com,NO,,,Small Business of the Year 2022
Tier 3,Insurance,CoverLink Insurance Agency,Lima OH,,,coverlink.com,NO,,,Nearly 100 years of experience
Tier 3,Insurance,Kesner Insurance Agency Inc.,Lima OH,1240 W Market St Lima OH 45805,,,NO,,,Independent agency
Tier 3,Insurance,Creps Insurance Agency,Lima OH,806 Bellefontaine Ave Lima OH 45801,,,NO,,,Independent agency
Tier 3,Insurance,Webb Insurance Agency Inc.,Lima OH,212 W High St Lima OH 45801,,,NO,,,Independent agency
Tier 3,Insurance,Wenger Insurance Agency Inc,Lima OH,200 W North St Ste A Lima OH 45801,,,NO,,,Independent agency
Tier 3,Real Estate,Ron Spencer Real Estate,Lima OH,,,rsre.com,NO,,,45+ years - multiple offices
Tier 3,Real Estate,CCR Realtors,Lima OH,,(419) 222-0555,ccrrealtors.com,NO,,,Multiple offices - local leader
Tier 3,Real Estate,Cowan Realtors,Lima OH,,,cowanrealtors.com,NO,,,30+ years
Tier 3,Real Estate,Superior PLUS Realtors,Lima OH,,,superiorrealtors.com,NO,,,Full service (realty mortgage insurance title)
Tier 3,Real Estate,Howard Hanna Real Estate - Lima,Lima OH,,,howardhanna.com,NO,,,Regional office
Tier 3,Automotive,Tom Ahl Family of Dealerships,Lima OH,,(877) 748-4017,tomahl.com,NO,,,Chrysler/Dodge/Jeep/RAM/FIAT/Hyundai/GMC/Buick
Tier 3,Automotive,White's Honda Toyota of Lima,Lima OH,,,whiteslima.com,NO,,,Serves all NW Ohio
Tier 3,Automotive,Lima Chevrolet,Lima OH,,(419) 993-6000,limaautomall.com,NO,,,100+ years of service
Tier 3,Automotive,Roger's Automotive,Lima OH,,(419) 222-8880,rogersautomotive.net,NO,,,Since 1996
Tier 3,Automotive,Auto Medic of Ohio LLC,Lima OH,,,automedicofohio.com,NO,,,2 year/24000 mile warranty
Tier 3,Salon/Spa,LOX Salon & Spa,Lima OH,,(567) 204-0322,,NO,,,Independent stylists
Tier 3,Salon/Spa,Beauty by Jill Salon & Spa,Lima OH,,,vagaro.com/beautybyjillsalonandspa,NO,,,Full services
Tier 3,Salon/Spa,JJ's Hair & Daughters Spa,Lima OH,,,,NO,,,7 stylists - massage therapist - manicurist
Tier 3,Salon/Spa,Steven Michael's The Hair Studio,Lima OH,,,,NO,,,Top rated
Tier 3,Salon/Spa,Chapter 2 Salon & Spa,Lima OH,,,chapter-2-salon-spa.square.site,NO,,,Salon and spa
